# Absorption coefficients
# Pure CH4
# Wavenumber range: 0-10000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    1.3749684143E-11    5.5456320984E-31
    1.000000    2.4633957657E-11    9.9355639642E-31
    2.000000    6.1331414148E-11    2.4736674340E-30
    3.000000    3.2115221346E-10    1.2952966809E-29
    4.000000    2.6402391495E-09    1.0648822782E-28
    5.000000    3.7549331669E-10    1.5144695457E-29
    6.000000    1.0968166754E-09    4.4237683555E-29
    7.000000    2.3898448329E-10    9.6389124849E-30
    8.000000    2.3874987887E-10    9.6294502329E-30
    9.000000    1.3448757714E-09    5.4242600548E-29
   10.000000    1.6252492147E-08    6.5550845525E-28
   11.000000    5.1660491964E-09    2.0836120995E-28
   12.000000    8.0272905460E-10    3.2376307449E-29
   13.000000    1.3916720604E-09    5.6130025739E-29
   14.000000    1.4226260518E-08    5.7378486770E-28
   15.000000    1.2446351184E-07    5.0199614705E-27
   16.000000    1.0133600258E-08    4.0871643505E-28
   17.000000    9.2640113497E-09    3.7364348276E-28
   18.000000    1.9836314328E-08    8.0005402529E-28
   19.000000    2.4216966531E-07    9.7673797826E-27
   20.000000    2.9343158324E-08    1.1834916277E-27
   21.000000    3.1085618439E-08    1.2537699166E-27
   22.000000    1.8314618002E-07    7.3867975730E-27
   23.000000    4.4843585552E-07    1.8086672018E-26
   24.000000    4.1237527266E-07    1.6632247874E-26
   25.000000    1.5912171353E-07    6.4178236600E-27
   26.000000    6.0901767501E-07    2.4563385834E-26
   27.000000    1.3514707205E-07    5.4508593284E-27
   28.000000    1.5044162096E-07    6.0677312542E-27
   29.000000    3.9927467553E-07    1.6103864159E-26
   30.000000    3.2174942807E-07    1.2977054144E-26
   31.000000    2.8709743291E-07    1.1579442282E-26
   32.000000    5.1780850420E-08    2.0884664926E-27
   33.000000    4.3856996767E-07    1.7688753172E-26
   34.000000    1.5235701967E-06    6.1449846403E-26
   35.000000    1.6139589189E-06    6.5095476326E-26
   36.000000    2.7262529292E-07    1.0995740407E-26
   37.000000    2.2016797888E-07    8.8799902455E-27
   38.000000    5.8706050814E-07    2.3677791895E-26
   39.000000    1.4282713860E-06    5.7606178885E-26
   40.000000    1.2772835721E-06    5.1516418140E-26
   41.000000    8.7283157234E-07    3.5203738018E-26
   42.000000    1.0112065321E-06    4.0784787082E-26
   43.000000    2.6126515747E-07    1.0537554378E-26
   44.000000    4.5694364976E-07    1.8429815150E-26
   45.000000    1.4037689311E-06    5.6617926362E-26
   46.000000    1.6227385030E-07    6.5449581502E-27
   47.000000    4.4327980385E-07    1.7878714036E-26
   48.000000    3.4336789318E-07    1.3848987294E-26
   49.000000    1.8630285244E-06    7.5141149987E-26
   50.000000    7.0887188891E-07    2.8590785503E-26
   51.000000    6.5950440299E-07    2.6599656749E-26
