# Absorption Cross-sections (XS) & Absorbance
# Pure N2O
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    1.0363612315E-25    2.9779187139E-06
    1.000000    3.1268052579E-25    8.9846779377E-06
    2.000000    8.3477406121E-25    2.3986706789E-05
    3.000000    2.3008094195E-24    6.6112309290E-05
    4.000000    8.5740645420E-24    2.4637034344E-04
    5.000000    4.5818216258E-23    1.3165575813E-03
    6.000000    3.3742469259E-23    9.6956859834E-04
    7.000000    2.1520799309E-23    6.1838661126E-04
    8.000000    2.6797001811E-23    7.6999496646E-04
    9.000000    5.9285601524E-23    1.7035344133E-03
   10.000000    2.5635494160E-22    7.3661977578E-03
   11.000000    2.0520395595E-22    5.8964064076E-03
   12.000000    8.5443270398E-23    2.4551585505E-03
   13.000000    7.6911608971E-23    2.2100066339E-03
   14.000000    1.3066423720E-22    3.7545545450E-03
   15.000000    4.8743355299E-22    1.4006096090E-02
   16.000000    5.4409847782E-22    1.5634327009E-02
   17.000000    1.7371525985E-22    4.9915985610E-03
   18.000000    1.2210952672E-22    3.5087403283E-03
   19.000000    1.7417557858E-22    5.0048255299E-03
   20.000000    5.5199606699E-22    1.5861259259E-02
   21.000000    9.0362855165E-22    2.5965197197E-02
   22.000000    2.3083019864E-22    6.6327603480E-03
   23.000000    1.3681964053E-22    3.9314261822E-03
   24.000000    1.6298517984E-22    4.6832764714E-03
   25.000000    4.5747827140E-22    1.3145349943E-02
   26.000000    1.0373844308E-21    2.9808588125E-02
   27.000000    2.2867367686E-22    6.5707940532E-03
   28.000000    1.1342351418E-22    3.2591532295E-03
   29.000000    1.2165618133E-22    3.4957137341E-03
   30.000000    3.0328151082E-22    8.7146031633E-03
   31.000000    8.5870052124E-22    2.4674218546E-02
   32.000000    1.7307115559E-22    4.9730906310E-03
   33.000000    7.6034548317E-23    2.1848048485E-03
