# Absorption Cross-sections (XS) & Absorbance
# Pure O3
# Wavenumber range: 0-7500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    5.6042145641E-25    1.6103357516E-05
    1.000000    3.7447979943E-24    1.0760441136E-04
    2.000000    1.1301937247E-23    3.2475404721E-04
    3.000000    1.7271568488E-23    4.9628764040E-04
    4.000000    6.4395730666E-23    1.8503707551E-03
    5.000000    6.4399226689E-23    1.8504712111E-03
    6.000000    8.8623194654E-23    2.5465316708E-03
    7.000000    1.7812823863E-22    5.1184027264E-03
    8.000000    7.9767016233E-22    2.2920549628E-02
    9.000000    3.8678344811E-22    1.1113978730E-02
   10.000000    5.2034432446E-22    1.4951766376E-02
   11.000000    5.6168965884E-22    1.6139798514E-02
   12.000000    1.6904235610E-21    4.8573256156E-02
   13.000000    6.9749223134E-22    2.0041999887E-02
   14.000000    8.5107574299E-22    2.4455125346E-02
   15.000000    1.3198776931E-21    3.7925854063E-02
   16.000000    2.9460920422E-21    8.4654098962E-02
   17.000000    1.6789663752E-21    4.8244041139E-02
   18.000000    1.3647349902E-21    3.9214800238E-02
   19.000000    3.0653856560E-21    8.8081925806E-02
   20.000000    1.0742563888E-21    3.0868080611E-02
   21.000000    1.8254885939E-21    5.2454264793E-02
   22.000000    7.4086248936E-21    2.1288216931E-01
   23.000000    1.9035476984E-21    5.4697243987E-02
   24.000000    3.1129694647E-21    8.9449216576E-02
   25.000000    3.2849458035E-21    9.4390848337E-02
   26.000000    3.0501901590E-21    8.7645292773E-02
   27.000000    3.6373877342E-21    1.0451804520E-01
   28.000000    1.7810540531E-20    5.1177466252E-01
   29.000000    1.9845992963E-21    5.7026210596E-02
   30.000000    1.7948354552E-21    5.1573466160E-02
   31.000000    2.7670992724E-21    7.9510854479E-02
   32.000000    3.1149118976E-21    8.9505031161E-02
   33.000000    2.3993255159E-21    6.8943107262E-02
   34.000000    1.1748312285E-20    3.3758035274E-01
   35.000000    3.3201926146E-21    9.5403643249E-02
   36.000000    3.3993200837E-21    9.7677321227E-02
   37.000000    2.9422226718E-21    8.4542915043E-02
   38.000000    1.4422735263E-21    4.1442821229E-02
   39.000000    4.8270316700E-21    1.3870171428E-01
   40.000000    5.9690573303E-21    1.7151710222E-01
   41.000000    5.0652050322E-21    1.4554547581E-01
   42.000000    3.5987303069E-21    1.0340724838E-01
   43.000000    2.9344219417E-21    8.4318765977E-02
   44.000000    5.6823903886E-21    1.6327990824E-01
   45.000000    2.6933301821E-21    7.7391146140E-02
   46.000000    6.5240321410E-21    1.8746395381E-01
   47.000000    6.9411260331E-21    1.9944888405E-01
   48.000000    5.9039804905E-21    1.6964716022E-01
   49.000000    4.3704114483E-21    1.2558101986E-01
   50.000000    2.3839726461E-21    6.8501952219E-02
   51.000000    2.6521202519E-21    7.6207004753E-02
   52.000000    6.1592628927E-21    1.7698253924E-01
   53.000000    8.7443682841E-21    2.5126391419E-01
   54.000000    5.2188552446E-21    1.4996051787E-01
   55.000000    5.8316005655E-21    1.6756736867E-01
   56.000000    5.6673737053E-21    1.6284841330E-01
   57.000000    2.9822606879E-21    8.5693382213E-02
   58.000000    3.5836108359E-21    1.0297279990E-01
   59.000000    1.1884135009E-20    3.4148313315E-01
   60.000000    6.1317542683E-21    1.7619209624E-01
   61.000000    6.6761985078E-21    1.9183635850E-01
   62.000000    7.4760647509E-21    2.1482001112E-01
   63.000000    3.7337996814E-21    1.0728838176E-01
   64.000000    4.6713448414E-21    1.3422815134E-01
   65.000000    1.0841447346E-20    3.1152216001E-01
   66.000000    5.5533628197E-21    1.5957238232E-01
   67.000000    6.1847644115E-21    1.7771530932E-01
