# Absorption Cross-sections (XS) & Absorbance
# [Non-airy] IAO model, high latitude, winter, H=0
# Wavenumber range: 0-4000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    1.8783616243E-26    5.3973538012E-07
    1.000000    2.5144825313E-26    7.2252071557E-07
    2.000000    1.1151881201E-24    3.2044228125E-05
    3.000000    3.8012063688E-26    1.0922527046E-06
    4.000000    1.1803238460E-25    3.3915862179E-06
    5.000000    4.6899222806E-26    1.3476196235E-06
    6.000000    7.7518941274E-26    2.2274579450E-06
    7.000000    6.4407617358E-26    1.8507123117E-06
    8.000000    7.4335715949E-26    2.1359899705E-06
    9.000000    9.0536993445E-26    2.6015234735E-06
   10.000000    1.4658401089E-25    4.2119992133E-06
   11.000000    2.1792135909E-25    6.2618329755E-06
   12.000000    3.3400330682E-25    9.5973746184E-06
   13.000000    4.8789266904E-25    1.4019288500E-05
   14.000000    5.3108105019E-25    1.5260279427E-05
   15.000000    1.0382657681E-24    2.9833912797E-05
   16.000000    1.0765973710E-24    3.0935347262E-05
   17.000000    2.1662613955E-24    6.2246156580E-05
   18.000000    9.5754976937E-24    2.7514589421E-04
   19.000000    1.3119118584E-23    3.7696960822E-04
   20.000000    2.7366904657E-24    7.8637076572E-05
   21.000000    1.4052604375E-24    4.0379273438E-05
   22.000000    1.0794564390E-24    3.1017500780E-05
   23.000000    1.2914894800E-24    3.7110136643E-05
   24.000000    2.9063337730E-24    8.3511670142E-05
   25.000000    1.5768213311E-23    4.5308967642E-04
   26.000000    3.7752906813E-24    1.0848059951E-04
   27.000000    1.5237546412E-24    4.3784129735E-05
   28.000000    1.2178499854E-24    3.4994152155E-05
   29.000000    1.3122540205E-24    3.7706792634E-05
   30.000000    1.7374657388E-24    4.9924983501E-05
   31.000000    2.5424953315E-24    7.3057001723E-05
   32.000000    4.6345154546E-24    1.3316988211E-04
   33.000000    1.3846725259E-23    3.9787692767E-04
   34.000000    6.6105206666E-24    1.8994914710E-04
   35.000000    1.0169433054E-23    2.9221225263E-04
