# Absorption Cross-sections (XS) & Absorbance
# [Non-airy] IAO model, tropics, H=0
# Wavenumber range: 0-4000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

    0.000000    6.3584341924E-25    1.8270560107E-05
    1.000000    7.2235415811E-25    2.0756391691E-05
    2.000000    2.1119736633E-24    6.0686232792E-05
    3.000000    1.1775161329E-24    3.3835184310E-05
    4.000000    1.4438812248E-24    4.1489017431E-05
    5.000000    1.6928934607E-24    4.8644227166E-05
    6.000000    2.8146729649E-24    8.0877854562E-05
    7.000000    2.3421766648E-24    6.7300971026E-05
    8.000000    2.7049658960E-24    7.7725491047E-05
    9.000000    3.2928227521E-24    9.4617187492E-05
   10.000000    5.3291393471E-24    1.5312946209E-04
   11.000000    7.9185144709E-24    2.2753352511E-04
   12.000000    1.2098684200E-23    3.4764806900E-04
   13.000000    1.7698831553E-23    5.0856477541E-04
   14.000000    1.8283669888E-23    5.2536973657E-04
   15.000000    3.7674801744E-23    1.0825616951E-03
   16.000000    3.8921713704E-23    1.1183909248E-03
   17.000000    7.8698055792E-23    2.2613390579E-03
   18.000000    3.4800574449E-22    9.9997258441E-03
   19.000000    4.7678769289E-22    1.3700194006E-02
   20.000000    9.9445398965E-23    2.8575008943E-03
   21.000000    5.1046391916E-23    1.4667859154E-03
   22.000000    3.9174118621E-23    1.1256436211E-03
   23.000000    4.6862208354E-23    1.3465560366E-03
   24.000000    1.0521496654E-22    3.0232857840E-03
   25.000000    5.7295791255E-22    1.6463584686E-02
   26.000000    1.3590371308E-22    3.9051075837E-03
   27.000000    5.5264589541E-23    1.5879931669E-03
   28.000000    4.3729016286E-23    1.2565257362E-03
